,Country.Name,A2010,A2011,A2012,A2013,A2014,A2015,A2016,A2017
2,Afghanistan,100,100,100,100,100,100,100,100
3,Angola,100,100,100,100,100,100,100,100
4,Albania,100,100,100,100,100,100,100,100
5,Andorra,99.95663582,100,99.95599732,97.68595932,16.59898025,90.84806274,17.41955772,17.82445949
6,Arab World,100,100,100,100,100,100,100,100
7,United Arab Emirates,100,100,100,100,100,100,100,100
8,Argentina,99.44764132,99.53041309,99.21768856,99.026464,98.31406401,98.02192869,94.13945992,93.85282467
9,Armenia,100,100,100,100,100,100,100,100
10,American Samoa,100,100,100,100,100,100,100,100
11,Antigua and Barbuda,100,100,100,100,100,100,100,100
12,Australia,32.97097298,36.32342315,30.65454271,28.27405946,27.10551384,26.04666675,24.90420852,24.89358377
13,Austria,98.45154185,99.25717078,97.41014309,95.76835515,93.78567197,91.47446535,85.01593469,85.05153767
14,Azerbaijan,100,100,100,100,100,100,100,100
15,Burundi,100,100,100,100,100,100,100,100
16,Belgium,99.49558887,99.35474206,98.42810981,96.80229286,94.48915243,95.10434538,91.78911483,91.94854035
17,Benin,100,100,100,100,100,100,100,100
18,Burkina Faso,100,100,100,100,100,100,100,100
19,Bangladesh,100,100,100,100,100,100,100,100
20,Bulgaria,99.96438954,99.96465041,99.96493776,99.96527947,99.9657025,99.96623179,99.89349344,99.89467432
21,Bahrain,100,100,100,100,100,100,100,100
22,"Bahamas, The",100,100,100,100,100,100,99.99999999,99.99999999
23,Bosnia and Herzegovina,100,100,100,100,100,100,99.95544692,99.95523503
24,Belarus,100,100,100,100,100,100,100,99.93135197
25,Belize,100,100,100,100,100,100,100,100
26,Bermuda,100,100,100,100,100,100,100,100
27,Bolivia,100,100,100,100,100,99.9997323,99.99748599,99.99913202
28,Brazil,90.93812329,91.92837459,86.82923025,85.33471375,77.11647309,74.92775153,67.95255918,68.13503006
29,Barbados,100,100,100,100,100,100,100,100
30,Brunei Darussalam,1.767244424,1.767920142,1.768517699,0,0,0,0,0
31,Bhutan,100,100,100,100,100,100,100,100
32,Botswana,100,100,100,100,100,100,100,100
33,Central African Republic,100,100,100,100,100,100,100,100
34,Canada,13.66721763,18.72081855,8.338183945,6.630326768,2.023391521,0.725554042,0,0
35,Central Europe and the Baltics,98.79088116,98.78222425,98.60853583,98.53582675,98.36080183,98.42037073,97.96652394,97.94979912
36,Switzerland,93.00070455,94.78523508,91.82091436,86.91049745,78.49918639,72.31110734,49.33945364,49.30013623
38,Chile,99.28649823,99.31976119,99.29948107,99.30199962,99.15045175,98.57629893,97.59441874,97.66301771
39,China,99.99999743,99.99999754,99.99999299,99.99999054,99.99995845,99.99995516,99.99829865,99.99829446
40,Cote d'Ivoire,100,100,100,100,100,100,100,100
41,Cameroon,100,100,100,100,100,100,100,100
42,"Congo, Dem. Rep.",100,100,100,100,100,100,100,100
43,"Congo, Rep.",100,100,100,100,100,100,100,100
44,Colombia,99.87603724,99.8381953,99.85618013,99.35286059,97.48104423,96.338151,92.74339524,92.10462898
