Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/28/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1497859850,1671819991,1810502721,1988839272,2197955100,2301201474,2371124241,2581983077,2663055514,2734950491,3009056282,2983689819,2931664258,3045100031,3374481585,3521849159,3666548023,3832820982,3903830108,3519787116,3429584867,3621879746,3640775603,3860198723,3966592233,3990944634,4026064568,4157176527,,
Afghanistan,AFG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18973027429,21032245383,21903906005,25122565906,27269473534,31873654690,33769009352,41304884284,47787706704,48993947132,56301250158,60497916496,63321947173,64927903090,67121529135,70220349482,72544086004,
Angola,AGO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36607761178,38220933544,36809655606,28644401034,29647912555,34810016153,40248524980,43920842825,46498762067,48199123944,50781818083,54078410874,62440884509,65502029874,74632978886,88523668697,1.01734E+11,1.19103E+11,1.34978E+11,1.37175E+11,1.45516E+11,1.53714E+11,1.70044E+11,1.81601E+11,1.9396E+11,1.97884E+11,1.94887E+11,1.98299E+11,1.98445E+11,
Albania,ALB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8378950164,6236674650,5920351122,6639980530,7344850517,8497882715,9440948344,8555019547,9451335237,10792597200,11927765515,13162883698,14221891223,15181419279,16414419615,17663293361,19630459706,21610743514,24251601694,25805493327,28046618671,29655509256,30530304271,30604056299,32529083193,33594857436,34134078385,37154193490,38196049979,
Andorra,AND,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51539E+12,1.5714E+12,1.68961E+12,1.78373E+12,1.87586E+12,1.96688E+12,2.09554E+12,2.22296E+12,2.37951E+12,2.46959E+12,2.65749E+12,2.76401E+12,2.82312E+12,3.0031E+12,3.36756E+12,3.66776E+12,4.01142E+12,4.30685E+12,4.64846E+12,4.72739E+12,5.01301E+12,5.27177E+12,5.72791E+12,6.00751E+12,6.26528E+12,6.53474E+12,6.83246E+12,7.04435E+12,7.3706E+12,
United Arab Emirates,ARE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33305E+11,1.38998E+11,1.46921E+11,1.52299E+11,1.66278E+11,1.81118E+11,1.95129E+11,2.14751E+11,2.17802E+11,2.27359E+11,2.57668E+11,2.67004E+11,2.77827E+11,3.07891E+11,3.46427E+11,3.74562E+11,4.23859E+11,4.49105E+11,4.72454E+11,4.51096E+11,4.63667E+11,5.06158E+11,5.38999E+11,5.76174E+11,6.12898E+11,6.50826E+11,6.77605E+11,6.95942E+11,7.2177E+11,
Argentina,ARG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.40729E+11,2.716E+11,2.99838E+11,3.32133E+11,3.59023E+11,3.56122E+11,3.82685E+11,4.20859E+11,4.41982E+11,4.33184E+11,4.39374E+11,4.29215E+11,3.88504E+11,4.30688E+11,4.8222E+11,5.41255E+11,6.02508E+11,6.74423E+11,7.15436E+11,6.78224E+11,7.556E+11,8.17698E+11,8.24826E+11,8.59489E+11,8.53745E+11,8.86441E+11,8.77492E+11,9.18033E+11,9.15132E+11,
Armenia,ARM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8592656883,7843900653,4669185550,4359188275,4692696345,5121679698,5521366818,5803107766,6296817802,6598526612,7144051050,7998457026,9196357105,10682363452,12118272912,14228374758,16593643827,19382176256,21122568893,18271970266,18891551958,20192628680,22061645091,23189619052,24478961727,25532428677,25863255541,28331472880,30476895726,
American Samoa,ASM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708982525.8,748914162.7,774853792.1,835094424,909869914.1,888450903.5,964473738.8,1034782589,1095939130,1152985313,1257639587,1221553967,1253583878,1354215385,1470449181,1613481100,1873895381,2102406303,2142655029,1897589117,1781481858,1780882314,1878683201,1909666977,2036433448,2141067992,2285469998,2399538417,2574636434,
Australia,AUS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95731E+11,3.07496E+11,3.18218E+11,3.37997E+11,3.58248E+11,3.77604E+11,4.0233E+11,4.24683E+11,4.52745E+11,4.78153E+11,5.04273E+11,5.30687E+11,5.64354E+11,5.90772E+11,6.30539E+11,6.64362E+11,7.10076E+11,7.61466E+11,7.9598E+11,8.74182E+11,8.66385E+11,9.37507E+11,9.73601E+11,1.06163E+12,1.10055E+12,1.10197E+12,1.14549E+12,1.22157E+12,1.28965E+12,
Austria,AUT,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49275E+11,1.59635E+11,1.66691E+11,1.71539E+11,1.7941E+11,1.8806E+11,1.95228E+11,2.0258E+11,2.12778E+11,2.2064E+11,2.3538E+11,2.38979E+11,2.51985E+11,2.60768E+11,2.75747E+11,2.88087E+11,3.11092E+11,3.2678E+11,3.43813E+11,3.41463E+11,3.51314E+11,3.73031E+11,3.91635E+11,4.0637E+11,4.1706E+11,4.31078E+11,4.51297E+11,4.74007E+11,4.91095E+11,
Azerbaijan,AZE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40834005196,41919407120,33185026919,26123909257,21425448185,19293488451,19902166071,21419588071,23826736963,25959383714,29485605495,33115452911,36814442589,41326042612,46365813602,61178516231,84753921779,1.09191E+11,1.23105E+11,1.35666E+11,1.43819E+11,1.44514E+11,1.5053E+11,1.62121E+11,1.69809E+11,1.73428E+11,1.69953E+11,1.72695E+11,1.79084E+11,
Burundi,BDI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3626173850,3936123704,4066485118,3903070859,3833736464,3604124871,3376508109,3380120069,3580526802,3595537122,3644416845,3800919950,4032723456,4057348937,4367979661,4544576066,4935584332,5243118639,5604967830,5863029707,6235280686,6622226209,7049349097,7526274677,7993864922,7764251881,7802059444,7990111828,8301036090,
Belgium,BEL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86978E+11,1.96845E+11,2.04412E+11,2.07242E+11,2.18498E+11,2.284E+11,2.32497E+11,2.43612E+11,2.50626E+11,2.62229E+11,2.86917E+11,2.97884E+11,3.14972E+11,3.22246E+11,3.35956E+11,3.49277E+11,3.73253E+11,3.91798E+11,4.08409E+11,4.10362E+11,4.3639E+11,4.55705E+11,4.71333E+11,4.86674E+11,4.99975E+11,5.14017E+11,5.35004E+11,5.62068E+11,5.75292E+11,
Benin,BEN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4725432531,5091675351,5361738969,5809107865,6053027795,6553539803,6962119839,7488314622,7872548624,8412792261,9104867684,9800548296,10417953197,10976886725,11771733648,12346174782,13221847367,14389813651,15387048653,15865494871,16389062381,17227124155,18403168244,20072483846,21751324915,22444661751,23589730506,25441421706,27799325827,
Burkina Faso,BFA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4827699204,5443639510,5580651693,5910617497,6116216341,6601419933,7462737431,8070961930,8758243881,9542534477,9933435560,10822665275,11472417139,12597222687,13515718506,15143905206,16577820504,17985806826,19673148440,20410290546,21757622183,23684085089,25695882514,27661401714,29404232590,30876071962,33065973361,35817942701,39010009433,
