Country Name,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,96.82264,,,,,,,
Afghanistan,,31.74112,,,,,,
Angola,,,,,66.03011,,,
Albania,,96.8453,97.24697,,,,,
Andorra,,,,,,,,
Arab World,70.76441,72.59386,73.7217,73.94749,74.61962,75.11764,73.69399,74.47393
United Arab Emirates,,,,,,,,
Argentina,98.95497,99.10833,99.10523,99.12195,98.99389,99.17996,99.12501,
Armenia,,99.74441,,,,,,99.73607
American Samoa,,,,,,,,
Antigua and Barbuda,,98.95,,,,98.95,,
Australia,,,,,,,,
Austria,,,,,,,,
Azerbaijan,99.77114,99.77863,99.77577,99.78936,99.78899,99.78806,99.79006,99.79123
Burundi,,,,,61.56973,,,68.37533
Belgium,,,,,,,,
Benin,,,32.94882,,,,,
Burkina Faso,,,,,34.5994,,,
Bangladesh,,58.76918,57.86075,61.01554,61.0933,65.13733,72.75872,72.89297
Bulgaria,,98.35245,,,,,,
Bahrain,90.9774,,,,,,97.06668,97.40389
"Bahamas, The",,,,,,,,
Bosnia and Herzegovina,,98.14204,,96.99177,,,,
Belarus,,,,,,,,
Belize,,,,,,,,
Bermuda,,,,,,,,
Bolivia,,92.22615,94.46057,,,92.45508,,
Brazil,90.37918,91.41124,91.33785,91.48424,91.72943,92.0479,92.80844,93.07582
Barbados,,,,,99.6,,,
Brunei Darussalam,,96.08556,,,,,,
Bhutan,,,57.0336,,,,,66.56115
Botswana,,,,86.82318,87.7,,,
Central African Republic,36.75261,,,,,,,
Canada,,,,,,,,
Central Europe and the Baltics,98.91732,98.93486,98.9454,98.95481,98.96629,98.97773,98.99005,
Switzerland,,,,,,,,
Channel Islands,,,,,,,,
Chile,,96.70301,,96.26706,,96.87413,,96.40228
China,95.12448,,,,,,,
Cote d'Ivoire,,,40.98163,,43.90842,,,
Cameroon,71.29051,,,,,,,
"Congo, Dem. Rep.",,,75.01719,,,,77.04268,
"Congo, Rep.",,79.31117,,,,,,
Colombia,93.37233,93.58053,,,94.18625,94.24505,94.65385,
Comoros,,,49.19614,,,,,
Cabo Verde,,,85.32779,,,86.79029,,
Costa Rica,,97.40658,,,,,,
Caribbean small states,90.60098,90.79542,90.80851,90.8723,91.0397,91.12809,,
Cuba,,,99.75253,,,,,
Curacao,,,,,,,,
Cayman Islands,,,,,,,,
Cyprus,,98.67843,,,,,,
Czech Republic,,,,,,,,
Germany,,,,,,,,
Djibouti,,,,,,,,
Dominica,,,,,,,,
Denmark,,,,,,,,
Dominican Republic,89.53873,90.10638,90.15518,90.85815,91.76376,91.99121,93.77846,
Algeria,,,,,,,,
East Asia & Pacific (excluding high income),94.60775,94.45593,94.67794,94.77902,95.19566,95.40914,95.52339,95.72633
Early-demographic dividend,75.28231,75.28606,75.91448,76.49256,77.23448,77.95227,78.57369,79.01262
East Asia & Pacific,94.26817,94.07541,94.31349,94.42047,94.91781,95.13715,95.25384,95.46465
Europe & Central Asia (excluding high income),98.38939,98.6356,98.76158,98.81141,98.84282,98.87197,98.98786,98.96444
Europe & Central Asia,97.58114,97.89486,97.99824,98.06956,98.11637,98.16487,98.25469,98.27194
Ecuador,91.85404,91.5869,92.06473,93.29463,94.22264,94.45566,94.35023,92.82979
"Egypt, Arab Rep.",72.04785,,73.86559,75.06073,,,,71.16825
Euro area,,,,,,,,
Eritrea,,,,,,,,
Spain,97.7489,97.78375,97.89454,98.07913,98.09372,98.14326,98.25051,
Estonia,,99.88579,,,,,,
Ethiopia,,,,,,,,51.77118
European Union,,,,,,,,
Fragile and conflict affected situations,61.55183,61.16862,61.36252,61.16073,61.86611,62.22513,62.50688,63.33
Finland,,,,,,,,
Fiji,,,,,,,,99.08211
France,,,,,,,,
Faroe Islands,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,
Gabon,,,82.2838,,,,,
United Kingdom,,,,,,,,
Georgia,,,,,99.58619,,,99.36426
Ghana,71.49707,,,,,,,
Gibraltar,,,,,,,,
Guinea,25.30774,,,,32.00384,,,
"Gambia, The",,,,41.95005,,50.77797,,
Guinea-Bissau,,,,,45.58116,,,
Equatorial Guinea,94.37054,,,,95,,,
Greece,,97.36874,,,,,,
Grenada,,,,,98.6,,,
Greenland,,,,,,,,
Guatemala,,,78.26486,77.03867,81.2859,,,
Guam,,,,,,,,
Guyana,,,,,85.63973,,,
High income,,,,,,,,
"Hong Kong SAR, China",,,,,,,,
Honduras,84.75536,85.1233,85.35555,85.46442,87.19753,87.90683,88.98748,
Heavily indebted poor countries (HIPC),55.25037,57.37312,58.83455,59.04499,59.90768,60.39487,61.19566,62.12908
Croatia,,99.12536,,,,,,
Haiti,,,,,,,61.69135,
Hungary,,,,,99.1,,,
IBRD only,86.82038,87.17826,87.51869,87.73278,88.12764,88.43664,88.5859,88.8029
IDA & IBRD total,81.67029,81.93721,82.35303,82.56062,82.97848,83.34816,83.71072,83.98566
IDA total,60.52087,60.68527,61.67557,62.12955,62.91562,63.80264,65.25168,66.01621
IDA blend,63.029,63.09089,64.44268,64.31306,65.15158,65.56207,66.23999,67.07135
Indonesia,,92.81191,,,95.11622,95.21793,95.37697,
IDA only,59.22267,59.44031,60.24365,60.99984,61.75931,62.8935,64.74183,65.47285
Isle of Man,,,,,,,,
India,,69.30256,,,,,,
Not classified,,,,,,,,
Ireland,,,,,,,,
"Iran, Islamic Rep.",,,83.62599,84.6268,84.70524,,85.54425,
Iraq,,,,43.68328,,,,
Iceland,,,,,,,,
Israel,,,,,,,,
Italy,,98.84828,,,,,,
Jamaica,,,,,88.1,,,
Jordan,92.55104,95.90445,97.89032,,,,,
Japan,,,,,,,,
Kazakhstan,99.78163,,,,,,,
Kenya,,,,,78.73304,,,
Kyrgyz Republic,,,,,,,,
Cambodia,,,,,78.05509,80.52649,,
Kiribati,,,,,,,,
St. Kitts and Nevis,,,,,,,,
"Korea, Rep.",,,,,,,,
Kuwait,94.46901,,95.51317,95.58582,,95.68545,,96.03595
Latin America & Caribbean (excluding high income),90.77361,91.43807,91.68341,91.76209,92.2644,92.45387,92.97116,93.12496
Lao PDR,,58.28794,,,,84.66104,,
Lebanon,,,,,,,,
Liberia,,,,,,,,48.30136
Libya,,,,,,,,
St. Lucia,,,,,,,,
Latin America & Caribbean,91.66744,92.23425,92.4574,92.50325,92.94435,93.12883,93.591,93.70474
Least developed countries: UN classification,57.47995,57.66528,58.57303,59.38629,60.15597,61.41421,63.42245,64.2174
Low income,56.9209,58.78024,60.13292,60.17592,60.90361,61.27429,61.93147,62.75316
Liechtenstein,,,,,,,,
Sri Lanka,91.18136,,,,,,92.3869,91.89575
Lower middle income,72.75541,72.84508,73.54289,74.13088,74.84184,75.59041,76.25343,76.85608
Low & middle income,81.44956,81.72388,82.14667,82.36124,82.78633,83.1604,83.52819,83.81031
Lesotho,,,,,76.6352,,,
Late-demographic dividend,94.61558,95.13004,95.30169,95.36598,95.53109,95.67817,95.86127,96.00959
Lithuania,,99.8156,,,,,,
Luxembourg,,,,,,,,
Latvia,,99.8959,,,,,,
"Macao SAR, China",,95.64004,,,,,96.53849,
St. Martin (French part),,,,,,,,
Morocco,,67.08416,69.42539,,,,,
Monaco,,,,,,,,
Moldova,,,99.13831,,99.35989,,,
Madagascar,,,71.57262,,,,,
Maldives,,,,,98.61012,,97.73495,
Middle East & North Africa,76.49272,77.26692,77.88424,78.21723,78.74318,79.4081,77.93316,78.83495
Mexico,93.06894,93.51998,94.2284,93.96285,94.55588,94.47228,94.85962,94.97278
Marshall Islands,,98.26508,,,,,,
Middle income,83.67154,83.82949,84.19361,84.45217,84.87823,85.28447,85.65752,85.92127
North Macedonia,,,,,97.8,,,
Mali,31.09975,33.56094,,,,33.06889,,
Malta,,93.30736,,,,,,
Myanmar,,,,,,,75.5512,
Middle East & North Africa (excluding high income),74.27413,74.50895,75.141,75.40792,75.96811,76.62246,74.84724,75.85256
Montenegro,,98.44221,,,,,,
Mongolia,98.257,,,,,,,
Northern Mariana Islands,,,,,,,,
Mozambique,,,,,,56.039,,60.65543
Mauritania,,,,,,,,53.49759
Mauritius,,89.24984,91.76601,91.49003,92.47476,92.7076,93.15784,
Malawi,61.30972,,,,65.14537,62.14354,,
Malaysia,93.11789,,,,,,93.7347,
North America,,,,,,,,
Namibia,,,,,,,,
New Caledonia,,,,,97.8,,,
Niger,,,30.56039,,,,,
Nigeria,,,,,,,,
Nicaragua,,,,,,82.61455,,
Netherlands,,,,,,,,
Norway,,,,,,,,
Nepal,,59.62725,,,,,,
Nauru,,,,,,,,
New Zealand,,,,,,,,
OECD members,,,,,,,,
Oman,86.939,,,,91.9812,93.03861,94.89999,95.576
Other small states,81.66278,82.18117,82.41896,82.64476,83.08374,84.41474,83.93278,84.17819
Pakistan,55.37519,54.73802,56.76434,55.59499,56.97715,,,59.13205
Panama,94.09412,,,,,,,
Peru,,,93.84173,,93.70795,94.16234,94.17367,94.14961
Philippines,,,,96.398,,98.18255,,
Palau,,,,99.50313,,96.59374,,
Papua New Guinea,61.6,,,,,,,
Poland,,,,,,,,
Pre-demographic dividend,55.59765,57.39086,58.80656,58.84711,59.71051,60.30702,61.03961,61.92296
