Country.Name,E2010,E2011,E2012,E2013,E2014,E2015,E2016,E2017
Aruba,3429584867,3621879746,3640775603,3860198723,3966592233,3990944634,4026064568,4157176527
Afghanistan,47787706704,48993947132,56301250158,60497916496,63321947173,64927903090,67121529135,70220349482
Angola,1.46E+11,1.54E+11,1.70E+11,1.82E+11,1.94E+11,1.98E+11,1.95E+11,1.98E+11
Albania,28046618671,29655509256,30530304271,30604056299,32529083193,33594857436,34134078385,37154193490
Arab World,5.01E+12,5.27E+12,5.73E+12,6.01E+12,6.27E+12,6.53E+12,6.83E+12,7.04E+12
United Arab Emirates,4.64E+11,5.06E+11,5.39E+11,5.76E+11,6.13E+11,6.51E+11,6.78E+11,6.96E+11
Argentina,7.56E+11,8.18E+11,8.25E+11,8.59E+11,8.54E+11,8.86E+11,8.77E+11,9.18E+11
Armenia,18891551958,20192628680,22061645091,23189619052,24478961727,25532428677,25863255541,28331472880
Antigua and Barbuda,1781481858,1780882314,1878683201,1909666977,2036433448,2141067992,2285469998,2399538417
Australia,8.66E+11,9.38E+11,9.74E+11,1.06E+12,1.10E+12,1.10E+12,1.15E+12,1.22E+12
Austria,3.51E+11,3.73E+11,3.92E+11,4.06E+11,4.17E+11,4.31E+11,4.51E+11,4.74E+11
Azerbaijan,1.44E+11,1.45E+11,1.51E+11,1.62E+11,1.70E+11,1.73E+11,1.70E+11,1.73E+11
Burundi,6235280686,6622226209,7049349097,7526274677,7993864922,7764251881,7802059444,7990111828
Belgium,4.36E+11,4.56E+11,4.71E+11,4.87E+11,5.00E+11,5.14E+11,5.35E+11,5.62E+11
Benin,16389062381,17227124155,18403168244,20072483846,21751324915,22444661751,23589730506,25441421706
Burkina Faso,21757622183,23684085089,25695882514,27661401714,29404232590,30876071962,33065973361,35817942701
Bangladesh,3.64E+11,3.96E+11,4.30E+11,4.63E+11,5.01E+11,5.39E+11,5.84E+11,6.38E+11
Bulgaria,1.10E+11,1.15E+11,1.18E+11,1.20E+11,1.27E+11,1.31E+11,1.39E+11,1.48E+11
Bahrain,49312348550,51341141015,54278716544,58222865662,61904895937,64357514490,67319507670,71208283858
"Bahamas, The",10328477564,10608854836,11146059011,11295113525,11491773078,11736027885,11663909983,12056433993
Bosnia and Herzegovina,34637208991,36525637927,37145690831,39027401491,39811454001,41200284473,43425610368,46033486454
Belarus,1.51E+11,1.63E+11,1.69E+11,1.73E+11,1.80E+11,1.75E+11,1.72E+11,1.80E+11
Belize,2479302473,2585830300,2712846399,2783971836,2941380900,3074860513,3090206268,3194203642
Bolivia,52535187415,56423688732,60451415414,65692669036,70590561009,74810796245,78853625517,83723411343
Brazil,2.80E+12,2.97E+12,3.09E+12,3.24E+12,3.32E+12,3.23E+12,3.16E+12,3.26E+12
Barbados,4497943022,4622083018,4723971973,4807308437,4899143408,4996301718,5152318373,5302755008
Brunei Darussalam,30667228517,32480415591,33405522010,33269086249,33101972265,33266312258,32800933005,33868533039
Bhutan,4575638487,5039821055,5396984432,5609356380,6043859606,6514371599,7113912041,7584701339
Botswana,25761527575,27890347804,29691918902,33640174365,35698845804,35467952449,37398956044,39217883524
Central African Republic,4221351630,4490299877,4807698241,3129093439,3192031303,3373368754,3580984631,3811699727
Canada,1.36E+12,1.43E+12,1.46E+12,1.55E+12,1.62E+12,1.59E+12,1.63E+12,1.71E+12
Central Europe and the Baltics,2.16E+12,2.31E+12,2.38E+12,2.48E+12,2.58E+12,2.69E+12,2.82E+12,3.04E+12
Switzerland,4.15E+11,4.45E+11,4.63E+11,4.86E+11,5.07E+11,5.30E+11,5.38E+11,5.60E+11
Chile,3.10E+11,3.51E+11,3.74E+11,3.94E+11,4.05E+11,4.08E+11,4.17E+11,4.48E+11
China,1.24E+13,1.39E+13,1.53E+13,1.68E+13,1.83E+13,1.98E+13,2.14E+13,2.33E+13
Cote d'Ivoire,53761811464,52476906029,59209529183,65604358999,72723969105,80001283606,87323360876,95836748084
Cameroon,57312925778,60926183399,64915780367,69624785206,75116280438,80210094836,84856536734,89538347743
"Congo, Dem. Rep.",41727321542,45527503793,49689019931,54849584189,61179964999,66110756415,68437288037,72337232184
"Congo, Rep.",22285382189,23529134689,24891635828,26199940824,28505555553,29572839901,29059126467,28693520065
Colombia,4.85E+11,5.32E+11,5.63E+11,5.99E+11,6.40E+11,6.66E+11,6.87E+11,7.09E+11
Comoros,1639079857,1741922162,1832144991,1948188639,2026732349,2070936773,2139394723,2239088441
Cabo Verde,2868103402,3044224922,3136176249,3216832485,3297725124,3366547730,3563516895,3776982885
Costa Rica,57879556279,61633610782,65828866818,68503995734,72253723775,75678484327,79754486839,84031346801
Caribbean small states,99520880910,1.03E+11,1.06E+11,1.09E+11,1.12E+11,1.14E+11,1.13E+11,1.15E+11
Curacao,4098135225,4209371340,4284140996,4324706364,4356341928,4415196869,4419442806,4425097204
Cayman Islands,3522652381,3638279468,3753656132,3868394045,4046210249,4205337980,4382957430,4602013095
Cyprus,27563187564,28242719959,27572497363,26393311452,25907990609,26767837474,28682597840,31076457366
Czech Republic,2.90E+11,3.02E+11,3.05E+11,3.21E+11,3.40E+11,3.55E+11,3.72E+11,4.03E+11
Germany,3.20E+12,3.43E+12,3.50E+12,3.65E+12,3.82E+12,3.92E+12,4.11E+12,4.35E+12
Dominica,713604623.5,726881593.1,732978386.7,741309118.4,788484700.3,776590921.5,804883336.9,742015639.1
Denmark,2.39E+11,2.47E+11,2.51E+11,2.62E+11,2.70E+11,2.79E+11,2.90E+11,3.13E+11
Dominican Republic,1.08E+11,1.14E+11,1.19E+11,1.27E+11,1.39E+11,1.51E+11,1.62E+11,1.73E+11
Algeria,4.55E+11,4.78E+11,5.04E+11,5.27E+11,5.57E+11,5.84E+11,6.10E+11,6.32E+11
