Country.Name,D2010,D2011,D2012,D2013,D2014,D2015,D2016,D2017
Arab World,70.76441,72.59386,73.7217,73.94749,74.61962,75.11764,73.69399,74.47393
Azerbaijan,99.77114,99.77863,99.77577,99.78936,99.78899,99.78806,99.79006,99.79123
Brazil,90.37918,91.41124,91.33785,91.48424,91.72943,92.0479,92.80844,93.07582
East Asia & Pacific (excluding high income),94.60775,94.45593,94.67794,94.77902,95.19566,95.40914,95.52339,95.72633
Early-demographic dividend,75.28231,75.28606,75.91448,76.49256,77.23448,77.95227,78.57369,79.01262
East Asia & Pacific,94.26817,94.07541,94.31349,94.42047,94.91781,95.13715,95.25384,95.46465
Europe & Central Asia (excluding high income),98.38939,98.6356,98.76158,98.81141,98.84282,98.87197,98.98786,98.96444
Europe & Central Asia,97.58114,97.89486,97.99824,98.06956,98.11637,98.16487,98.25469,98.27194
Ecuador,91.85404,91.5869,92.06473,93.29463,94.22264,94.45566,94.35023,92.82979
Fragile and conflict affected situations,61.55183,61.16862,61.36252,61.16073,61.86611,62.22513,62.50688,63.33
Heavily indebted poor countries (HIPC),55.25037,57.37312,58.83455,59.04499,59.90768,60.39487,61.19566,62.12908
IBRD only,86.82038,87.17826,87.51869,87.73278,88.12764,88.43664,88.5859,88.8029
IDA & IBRD total,81.67029,81.93721,82.35303,82.56062,82.97848,83.34816,83.71072,83.98566
IDA total,60.52087,60.68527,61.67557,62.12955,62.91562,63.80264,65.25168,66.01621
IDA blend,63.029,63.09089,64.44268,64.31306,65.15158,65.56207,66.23999,67.07135
IDA only,59.22267,59.44031,60.24365,60.99984,61.75931,62.8935,64.74183,65.47285
Latin America & Caribbean (excluding high income),90.77361,91.43807,91.68341,91.76209,92.2644,92.45387,92.97116,93.12496
Latin America & Caribbean,91.66744,92.23425,92.4574,92.50325,92.94435,93.12883,93.591,93.70474
Least developed countries: UN classification,57.47995,57.66528,58.57303,59.38629,60.15597,61.41421,63.42245,64.2174
Low income,56.9209,58.78024,60.13292,60.17592,60.90361,61.27429,61.93147,62.75316
Lower middle income,72.75541,72.84508,73.54289,74.13088,74.84184,75.59041,76.25343,76.85608
Low & middle income,81.44956,81.72388,82.14667,82.36124,82.78633,83.1604,83.52819,83.81031
Late-demographic dividend,94.61558,95.13004,95.30169,95.36598,95.53109,95.67817,95.86127,96.00959
Middle East & North Africa,76.49272,77.26692,77.88424,78.21723,78.74318,79.4081,77.93316,78.83495
Mexico,93.06894,93.51998,94.2284,93.96285,94.55588,94.47228,94.85962,94.97278
Middle income,83.67154,83.82949,84.19361,84.45217,84.87823,85.28447,85.65752,85.92127
Middle East & North Africa (excluding high income),74.27413,74.50895,75.141,75.40792,75.96811,76.62246,74.84724,75.85256
Other small states,81.66278,82.18117,82.41896,82.64476,83.08374,84.41474,83.93278,84.17819
Pre-demographic dividend,55.59765,57.39086,58.80656,58.84711,59.71051,60.30702,61.03961,61.92296
South Asia,66.01901,66.51724,67.2685,68.01312,68.73481,69.65735,70.99924,71.69524
Singapore,95.85733,96.18608,96.36979,96.54808,96.71666,96.82549,97.04959,97.20225
Sub-Saharan Africa (excluding high income),59.55902,61.18954,62.49027,62.81126,63.48269,64.08313,64.78476,65.0482
Sub-Saharan Africa,59.56398,61.19422,62.49471,62.81559,63.48687,64.08716,64.78863,65.05196
Small states,84.064,84.4677,84.63077,84.79789,85.14295,86.13148,85.77091,85.94953
East Asia & Pacific (IDA & IBRD countries),94.54161,94.38786,94.61261,94.71496,95.13672,95.3528,95.46849,95.67395
Europe & Central Asia (IDA & IBRD countries),98.42843,98.65026,98.76374,98.80896,98.83761,98.86424,98.96905,98.94835
Latin America & the Caribbean (IDA & IBRD countries),91.48097,92.06422,92.29404,92.34312,92.79792,92.99225,93.46904,93.58714
Middle East & North Africa (IDA & IBRD countries),74.06062,74.2919,74.92136,75.18455,75.74665,76.40267,74.60233,75.61515
South Asia (IDA & IBRD),66.01901,66.51724,67.2685,68.01312,68.73481,69.65735,70.99924,71.69524
Sub-Saharan Africa (IDA & IBRD countries),59.56398,61.19422,62.49471,62.81559,63.48687,64.08716,64.78863,65.05196
Turkey,92.6606,94.10609,94.91975,95.25666,95.43963,95.60142,96.16733,96.15053
Upper middle income,93.9115,94.23171,94.37705,94.41675,94.6637,94.83118,95.01176,95.02833
Uruguay,98.07271,98.3359,98.39594,98.36387,98.43593,98.52387,98.56147,98.61572
World,84.1044,84.37161,84.72603,84.90292,85.28372,85.59638,85.89491,86.12593
