Country.Name,C2010,C2011,C2012,C2013,C2014,C2015,C2016,C2017
Albania,14.08600044,13.48089981,13.37590027,15.86590004,17.48999977,17.07999992,15.22000027,13.75
Australia,5.211299896,5.081099987,5.223599911,5.662000179,6.07679987,6.054200172,5.709899902,5.591100216
Austria,4.820000172,4.563799858,4.864999771,5.334799767,5.619699955,5.722700119,6.013800144,5.499000072
Azerbaijan,5.630000114,5.420000076,5.190000057,4.96999979,4.909999847,4.960000038,5,5
Belgium,8.292499542,7.1395998,7.541699886,8.425299644,8.52270031,8.482000351,7.829699993,7.086200237
Bulgaria,10.27939987,11.25959969,12.26990032,12.94079971,11.42380047,9.143300056,7.57460022,6.164400101
Bosnia and Herzegovina,27.3118,27.58189964,28.01029968,27.45000076,27.51720047,27.69449997,25.40810013,20.5272007
Canada,8.055500031,7.511099815,7.291800022,7.073599815,6.91410017,6.906499863,6.998899937,6.339700222
Central Europe and the Baltics,9.899942361,9.789596999,9.978602416,10.0464856,8.952302606,7.817370066,6.48936775,5.294665123
Switzerland,4.80670023,4.407599926,4.484600067,4.74669981,4.825900078,4.800700188,4.917900085,4.796700001
Colombia,10.98400021,10.11089993,9.74050045,9.051699638,8.572199821,8.298999786,8.691800117,8.87250042
Czech Republic,7.279099941,6.711100101,6.978199959,6.952700138,6.107900143,5.04640007,3.951400042,2.889800072
Germany,6.966400146,5.824399948,5.379399776,5.23059988,4.98059988,4.624199867,4.121799946,3.745500088
Denmark,7.463600159,7.572700024,7.525800228,6.99669981,6.58920002,6.168300152,6.180699825,5.7427001
Algeria,9.960000038,9.960000038,10.97000027,9.819999695,10.20720005,11.20610046,10.20240021,13.56999969
Europe & Central Asia (excluding high income),8.466806322,7.593531189,6.944227318,7.081102677,7.1050603,7.350578397,7.463567816,7.215798913
Europe & Central Asia,9.039506748,8.677516401,8.870322667,9.157094178,8.831591391,8.475033118,8.067717278,7.45502887
Ecuador,4.087500095,3.457999945,3.234899998,3.082600117,3.479799986,3.615700006,4.597000122,3.836199999
"Egypt, Arab Rep.",8.756500244,11.84930038,12.59720039,13.15380001,13.10490036,13.05220032,12.40670013,11.73729992
Euro area,10.0699675,10.12230986,11.29313877,11.93111855,11.60405019,10.83632957,10.02980587,9.054223168
Spain,19.85969925,21.39049911,24.78720093,26.09359932,24.44129944,22.05730057,19.63470078,17.22360039
Estonia,16.7071991,12.32769966,10.02110004,8.630700111,7.351799965,6.186600208,6.761700153,5.760399818
European Union,9.531557748,9.604424694,10.41776801,10.81693588,10.20683863,9.383361798,8.540047934,7.614476298
Finland,8.394399643,7.781000137,7.689099789,8.193400383,8.663000107,9.375900269,8.818400383,8.640199661
France,8.871299744,8.81099987,9.40019989,9.920599937,10.29220009,10.3593998,10.05679989,9.397199631
United Kingdom,7.786600113,8.037400246,7.885300159,7.525100231,6.110499859,5.301199913,4.813199997,4.334799767
Georgia,20.20269966,19.63170052,19.65309906,19.41580009,17.43849945,16.50589943,16.60390091,13.93889999
Greece,12.71310043,17.86470032,24.43930054,27.46619987,26.49139977,24.89710045,23.53910065,21.48760033
High income,8.344571651,8.046205218,8.089403215,8.042455771,7.378405184,6.741223093,6.195844056,5.636792837
"Hong Kong SAR, China",4.309999943,3.420000076,3.289999962,3.400000095,3.299999952,3.319999933,3.390000105,3.089999914
Honduras,4.118700027,4.474500179,3.754499912,4.096000195,7.077600002,6.147299767,6.727099895,5.527800083
Croatia,11.62030029,13.67800045,15.93459988,17.25110054,17.28969955,16.17519951,13.10340023,11.20810032
Hungary,11.1718998,11.02910042,11.00300026,10.17650032,7.725299835,6.813199997,5.114900112,4.155700207
Indonesia,5.613500118,5.15320015,4.468200207,4.335800171,4.048600197,4.513999939,4.300700188,4.184800148
Ireland,14.53279972,15.35280037,15.45069981,13.73480034,11.8572998,9.906200409,8.373900414,6.71239996
